	C-m	C-n	IG-n	IG-m	IG-m 44
PP7080	190	297	237	630	191
CTD-2228K2.7	173	304	110	1617	451
SLC9A3	62	67	34	151	213
RP11-310P5.2	1	0	0	3	10
MIR4456	0	0	0	0	0
RP11-310P5.1	1	3	2	1	7
CEP72	19	167	182	112	80
TPPP	328	74	32	162	212
CTD-2589H19.6	2	21	7	26	14
ZDHHC11B	86	3	1	28	44
BRD9P2	5	0	0	0	1
ZDHHC11	40	18	11	78	39
SPCS2P3	0	0	0	1	1
BRD9	433	1571	851	154	87
TRIP13	55	1505	1237	49	153
RP11-661C8.2	2	0	0	0	1
RP11-661C8.3	0	0	0	0	1
RP11-43F13.3	0	0	0	0	4
RP11-43F13.4	0	0	0	2	3
NKD2	1	2	1	1	6
SLC12A7	3709	2422	782	2368	1751
MIR4635	2	1	1	0	0
CTD-3080P12.3	0	0	0	0	1
SLC6A19	0	1	0	11	32
SLC6A18	0	5	0	0	4
TERT	0	4	1	3	6
MIR4457	0	0	0	0	0
CLPTM1L	2826	3189	2560	6074	2627
LINC01511	0	1	0	12	12
MTCO2P32	0	0	0	0	0
RP11-325I22.3	16	0	0	18	55
SLC6A3	75	2	0	281	312
LPCAT1	2718	4195	2553	634	386
MIR6075	0	0	0	0	1
CTD-2245E15.3	0	0	2	6	3
SDHAP3	119	160	63	129	66
CTD-2012J19.3	39	26	13	21	79
CTD-2012J19.2	6	10	3	0	2
RP11-43F13.1	277	228	197	439	347
CTD-2012J19.1	5	1	3	0	22
MIR4277	0	1	0	0	1
CTD-2587M23.1	0	0	0	0	1
MRPL36	495	396	471	449	62
NDUFS6	571	1400	932	1906	177
CTD-2194D22.1	0	0	0	0	1
CTD-2194D22.2	0	0	0	0	1
CTD-2194D22.5	0	0	0	0	0
IRX4	0	1	0	16	31
CTD-2194D22.3	0	0	0	7	4
CTD-2194D22.4	0	0	0	0	0
RP11-259O2.1	0	0	0	0	0
RP11-259O2.2	0	0	0	0	0
RP11-259O2.3	0	0	0	0	0
RP11-24P24.1	0	0	0	0	0
LSINCT5	2	0	0	0	0
RP11-129I19.2	1	2	0	0	0
IRX2	616	845	7	1	6
C5orf38	176	119	3	3	4
RP11-692C23.1	0	0	0	0	0
RP11-468D11.1	0	0	0	0	0
RP11-35O7.1	0	0	0	0	0
LINC01377	0	0	0	0	0
LINC01019	0	0	0	0	0
RP11-121L11.3	0	0	0	0	0
LINC01017	0	0	0	0	0
IRX1	81	228	2	4	3
CTD-2012M11.3	0	0	0	0	0
CTD-2287N17.1	0	0	0	0	0
CTD-2383I20.1	0	0	0	0	0
CTD-2008N3.1	0	0	0	0	0
RP11-445O3.3	0	0	0	0	0
RP11-445O3.2	0	0	0	0	0
RP11-445O3.1	0	0	0	0	0
CTD-2318H23.1	0	0	0	0	0
CTD-2161F6.3	0	0	0	0	1
CTD-2161F6.2	0	0	0	0	0
CTD-2161F6.1	0	0	0	0	0
CTD-2046I8.1	0	0	0	0	0
CTD-2247C11.2	0	0	0	0	0
CTD-2247C11.1	0	0	0	0	0
LINC01020	0	0	0	0	0
CTD-2247C11.4	0	0	0	0	0
CTD-2247C11.5	0	0	0	0	0
RN7SKP73	0	0	0	0	0
CTD-2297D10.2	12	3	0	0	0
ADAMTS16	169	85	6	12	15
CTD-2297D10.1	0	0	0	0	0
ALG3P1	0	0	0	0	0
MTCO1P30	0	0	0	0	2
MTCO2P30	0	0	1	0	4
MTCO1P31	0	1	1	0	2
ICE1	1470	1749	1191	403	727
CTC-471C19.1	1	0	1	0	0
CTC-471C19.2	0	0	0	0	0
CTD-2299N12.1	1	0	0	0	0
HMGB3P3	0	0	0	0	0
FLJ33360	5	1	0	13	10
MED10	309	729	494	564	225
UBE2QL1	11	2	2	4	8
CTD-2195M18.2	0	0	0	0	0
LINC01018	1	4	2	0	1
NSUN2	1797	3311	1998	920	730
SRD5A1	281	979	439	161	112
CTD-2044J15.1	5	2	2	12	63
PAPD7	209	947	879	245	276
RP11-332J15.3	0	0	1	0	4
RP11-332J15.4	1	0	0	0	2
RP11-332J15.1	0	0	0	8	8
MIR4278	1	0	0	0	0
RN7SKP79	0	0	0	0	0
RP11-332J15.2	0	0	0	0	3
RP11-122F24.1	0	0	0	0	0
RNA5SP176	0	0	0	0	0
RP11-404K5.3	0	0	0	0	0
RP11-404K5.1	0	0	0	0	0
RP11-404K5.2	0	1	0	0	1
RP11-404K5.4	0	0	0	0	0
CTD-2296D1.1	0	0	0	0	1
CTD-2296D1.2	0	0	0	0	0
CTD-2296D1.3	0	0	0	0	0
CTD-2296D1.4	0	0	0	0	0
CTD-2296D1.5	0	0	0	0	0
ADCY2	22	3	0	99	67
RP11-711G10.1	0	0	0	0	0
C5orf49	4	11	1	1	5
MTRR	435	1096	626	93	139
FASTKD3	90	293	217	48	41
CTD-2072I24.1	1	0	0	0	2
RNU1-76P	0	0	0	0	0
RP11-334G8.1	0	0	0	0	0
RP11-215I16.2	0	0	0	0	0
RP11-215I16.1	0	0	0	0	0
RP11-480D4.1	0	0	1	3	0
RP11-480D4.2	4	1	0	0	2
RP11-480D4.5	0	0	0	0	0
RP11-480D4.6	1	2	0	1	4
MIR4458HG	411	165	5	311	110
RP11-480D4.4	2	0	0	0	9
RP11-480D4.7	25	3	0	1	8
RP11-417J1.1	0	0	0	0	0
RP11-417J1.5	0	0	0	0	0
RP11-417J1.6	0	0	0	0	0
MTND6P2	0	0	0	0	0
RP11-417J1.3	0	0	0	0	0
RP11-417J1.7	0	0	0	0	0
RP11-417J1.8	1	0	0	0	0
RP11-417J1.4	0	0	0	0	0
RP11-315A16.2	0	0	0	0	0
RP11-315A16.3	0	0	0	0	0
RP11-315A16.1	0	0	0	7	0
RP11-315A16.4	0	0	0	0	0
RP11-143A12.3	2	0	3	1	3
RP11-143A12.1	0	0	0	0	0
CTD-2215L10.1	0	0	0	0	2
SEMA5A	92	182	2333	339	739
MIR4636	0	0	0	0	0
CTD-2201E9.4	0	0	0	0	0
CTD-2201E9.3	0	0	0	0	1
CTD-2201E9.1	0	0	5	0	7
CTD-2201E9.2	0	0	0	0	1
SNHG18	26	111	301	359	88
SNORD123	1	0	4	1	0
CTD-2001E22.1	0	0	0	0	3
TAS2R1	0	0	0	0	0
CTD-2143L24.1	1	0	0	0	0
RNA5SP177	0	0	0	0	1
RP11-447B18.1	0	0	0	0	0
RP11-191F9.4	0	0	0	0	0
RP11-191F9.2	0	0	0	0	0
RP11-191F9.3	0	0	0	0	0
RP11-191F9.1	0	0	0	0	0
CTD-2199O4.1	0	0	1	0	0
CTD-2199O4.4	0	0	0	0	0
CTD-2199O4.5	0	0	0	0	0
CTD-2199O4.3	0	0	0	0	0
CTD-2199O4.7	0	0	0	0	0
CTD-2199O4.6	2	2	0	5	0
FAM173B	161	468	382	170	79
CTD-2256P15.1	6	0	0	10	33
CCT5	2791	8741	7087	2880	1535
CTD-2256P15.4	2	4	0	0	3
CTD-2256P15.5	0	0	0	0	0
CMBL	481	907	936	300	166
CTD-2256P15.3	1	0	1	1	5
CTD-2256P15.2	30	15	14	133	60
MARCH6	1528	3083	2915	764	1102
ROPN1L-AS1	0	0	0	0	1
ROPN1L	2	2	2	10	9
MIR6131	0	0	0	0	0
LINC01513	1	0	0	0	0
RPL30P7	0	0	0	0	2
RP11-1C1.6	0	0	0	0	0
RP11-1C1.4	1	0	0	0	1
RP11-1C1.5	0	1	0	0	1
RP11-54F2.9	0	0	0	0	1
RP11-54F2.8	0	0	0	0	0
ANKRD33B	234	728	213	28	96
ANKRD33B-AS1	0	0	0	0	4
RP11-54F2.1	0	0	0	0	0
RP11-215G15.4	0	1	0	0	5
CTD-2154B17.3	0	0	0	0	0
CTD-2154B17.2	0	0	0	0	0
DAP	2269	5567	4008	2020	1056
CTD-2154B17.4	0	0	0	0	0
CTD-2154B17.1	1	0	0	0	0
CTNND2	8	2	43	9	6
RNU6-429P	0	0	0	0	0
RNU6-679P	0	0	0	0	0
RP11-308B16.2	0	0	0	0	0
LINC01194	0	0	0	0	0
RP11-419C19.3	0	0	0	0	0
RP11-419C19.1	0	0	0	0	0
RP11-419C19.2	0	0	0	0	0
CTC-305H11.1	0	0	0	0	0
RPS23P5	2	0	0	0	0
NENFP3	0	0	0	0	0
CTC-232H10.1	0	0	0	0	0
DNAH5	203	234	29	22	80
CTB-51A17.1	1	0	0	0	0
TRIO	3239	7838	4055	1110	3855
AC016549.1	3	0	0	0	15
FAM105A	1	71	9	0	20
CTD-2165H16.3	0	0	0	0	3
CCT6P2	5	2	2	1	3
EEF1A1P13	59	49	32	11	2
CTD-2165H16.4	19	4	11	10	25
OTULIN	257	886	619	230	201
ANKH	203	535	4427	178	159
RBBP4P1	7	9	4	3	2
MIR4637	0	0	0	0	0
CTB-40H15.4	2	0	0	8	4
UQCRBP3	0	1	0	0	0
HNRNPKP5	0	0	1	0	0
SEPHS2P1	0	1	0	0	0
RP1-251I12.1	0	0	0	0	0
RP1-137K24.1	0	0	0	0	3
MARK2P5	0	0	0	0	1
CTD-2313D3.1	0	0	0	0	0
FBXL7	299	470	508	469	338
CTD-2350J17.1	0	0	0	1	4
MIR887	0	0	0	0	1
RNA5SP178	0	0	0	0	0
MARCH11	0	0	0	0	1
RP11-19O2.1	0	0	0	0	1
RP11-19O2.2	0	0	0	0	0
NACAP6	0	0	0	0	0
RP1-167G20.1	4	2	0	3	25
RP1-167G20.2	0	0	0	0	3
ZNF622	1408	1269	696	4485	1289
FAM134B	574	613	474	1000	712
RP11-260E18.1	3	3	4	1	10
CTC-461F20.1	0	1	0	6	3
MYO10	2276	6671	6512	1417	2000
RNA5SP179	0	0	0	0	0
RPS26P28	0	0	2	0	1
RNU6-660P	0	0	0	0	1
BASP1	624	3249	1416	261	117
CTD-2228A4.1	0	0	0	0	0
AC091878.1	2	0	1	1	1
RNA5SP180	0	0	0	0	0
DCAF13P2	0	1	0	0	0
RNU6-1003P	0	0	0	0	0
CTD-2139B15.1	2	0	0	6	0
RN7SKP133	0	0	0	0	0
FTH1P10	10	6	2	5	0
CTD-2139B15.2	0	0	0	0	0
CTD-2139B15.5	0	2	0	0	0
CTD-2139B15.4	0	0	0	1	0
RP11-321E2.3	0	0	0	0	0
RP11-321E2.4	0	0	0	0	0
RP11-321E2.5	0	0	0	0	1
RP11-321E2.13	3	0	0	129	138
RP11-321E2.12	0	0	0	0	0
RP11-321E2.6	1	0	0	20	15
RP11-321E2.11	1	0	0	3	20
RP11-321E2.10	17	0	0	347	238
RP11-321E2.2	0	0	0	0	0
RP11-321E2.7	0	0	0	0	0
RP11-321E2.8	0	0	0	0	0
RP11-321E2.9	0	0	0	0	0
RP11-432M8.2	0	0	0	0	0
RP11-432M8.1	0	0	0	0	0
RP11-432M8.3	0	0	0	0	0
RP11-432M8.4	0	0	0	0	0
RP11-432M8.5	0	0	0	0	0
RP11-432M8.7	0	0	0	0	0
RP11-432M8.6	0	0	0	0	0
RP11-432M8.8	3	0	0	139	88
RP11-432M8.9	1	0	0	270	166
RP11-432M8.20	0	0	0	0	1
RP11-432M8.10	0	0	0	0	2
RP11-432M8.11	2	0	0	108	69
RP11-432M8.12	0	0	0	10	49
RP11-432M8.13	1	0	0	145	83
RP11-432M8.15	0	0	0	0	0
RP11-432M8.14	0	0	0	1	0
RP11-432M8.16	0	0	0	19	12
RP11-432M8.18	0	0	0	0	0
RP11-432M8.17	7	0	0	546	226
RP11-432M8.21	0	0	0	0	0
RP11-432M8.19	0	0	0	0	0
RP11-454P21.1	0	0	0	0	0
RPL36AP21	0	1	1	1	0
RN7SL58P	0	0	0	0	0
CTD-2023M8.1	0	0	0	0	5
UBE2V1P12	0	0	0	0	0
CTD-2151L9.2	0	0	0	0	0
RP11-81B23.1	0	0	0	0	0
RP11-124N3.3	0	0	0	0	0
RP11-124N3.2	0	0	0	0	0
RPL32P14	0	0	0	0	0
HSPD1P15	0	0	0	0	0
CDH18	16	3	161	5	8
RP11-61K20.1	0	0	0	0	0
RP11-420O16.2	1	0	0	0	0
RP11-420O16.1	0	0	0	0	0
RP11-774D14.1	0	0	0	2	1
CTD-2333M24.1	0	0	0	0	1
RP11-697E23.1	0	0	0	0	0
RP11-811J10.1	0	0	0	0	0
RP11-374A4.1	0	0	0	4	5
GUSBP1	50	66	46	45	55
RP11-823P9.3	3	1	2	5	11
RP11-823P9.4	0	0	0	0	0
RP11-360I2.1	0	0	0	0	0
RP11-804N13.1	0	0	1	0	0
CDH12	1	1	52	7	13
HSPD1P1	14	14	14	1	0
RP11-855C21.1	0	0	0	0	0
PMCHL1	0	0	0	0	0
GCNT1P2	0	0	0	0	0
CTD-2234B20.1	0	0	0	1	7
CTD-2272G21.3	0	0	0	0	0
CTD-2272G21.2	0	2	0	0	0
CTD-2272G21.1	0	0	0	0	0
PRDM9	0	2	0	0	2
CTD-2351A8.1	0	0	0	0	0
RP11-197O8.1	13	0	0	0	5
C5orf17	1	0	0	0	1
CTD-2138O14.1	0	0	0	0	0
CTD-2015B23.2	2	1	4	1	0
CTD-2074D8.1	0	0	0	0	0
CDH10	9	4	230	18	12
RP11-116O11.1	0	0	0	0	0
RP11-116O11.2	0	0	0	0	1
RP11-12P19.2	0	0	0	0	2
BTG4P1	0	0	0	0	0
SNORD29	0	0	0	0	0
RP11-730N24.1	0	0	0	0	0
RP11-730N24.2	0	0	0	0	0
RP11-549K20.1	1	0	0	0	0
RP11-184E9.1	0	0	0	0	0
RP11-192H6.2	0	0	0	0	0
RP11-184E9.2	0	0	0	0	0
RP11-184E9.3	0	0	0	0	0
CTD-2306M5.1	0	0	0	0	0
RP11-184E9.4	0	0	0	0	0
RNU6-374P	0	0	0	0	0
CTD-2026A21.1	0	0	0	0	0
MSNP1	8	14	9	0	0
RNU4-43P	0	0	0	0	0
RP11-351N6.1	0	0	0	0	0
CTD-2533K21.3	0	0	0	0	0
CTD-2533K21.2	0	0	0	0	0
CTD-2533K21.1	0	0	0	0	0
CTD-2533K21.4	0	0	0	0	0
CCNB3P1	0	0	0	0	0
CDH9	1	5	0	1	5
RNU6-738P	1	0	0	0	0
CTD-3007L5.1	0	0	0	0	1
LINC01021	113	4	4	5	30
RP11-560A7.1	0	0	0	0	0
CTD-2061E9.1	0	0	0	0	0
RNU6-909P	0	0	0	0	0
CTD-2134P3.1	0	0	0	1	6
CTD-2134P3.2	0	0	0	0	0
CTD-2269E23.3	0	0	0	0	0
LSP1P3	0	0	0	0	0
CTD-2269E23.2	0	0	0	0	0
CTD-2269E23.4	0	0	0	0	0
SUCLG2P4	0	0	0	0	1
RP11-42L13.2	0	0	0	0	0
RP11-42L13.3	0	0	0	0	0
CTD-2118P12.1	0	0	0	0	0
CTD-2010I22.2	0	0	0	0	0
CTD-2345H1.1	0	0	0	0	0
UBL5P1	0	0	0	0	0
CTD-2011G17.1	0	0	0	0	0
CTD-2057J6.2	0	0	0	0	0
CTD-2057J6.1	0	0	0	0	0
RN7SKP207	0	0	0	0	0
CTD-2351A16.1	0	0	0	0	0
HPRT1P2	0	0	0	0	0
RP11-136H13.2	0	0	0	0	0
RPL19P11	0	0	0	0	0
CTD-2127O16.2	0	0	0	0	1
RP11-152K4.2	0	0	0	4	2
CDH6	996	5426	3345	213	338
DUX4L51	19	76	13	6	9
DROSHA	921	1742	1490	495	505
C5orf22	641	751	510	321	402
CTD-2008E3.1	6	4	1	0	5
RNU6-363P	0	0	0	0	0
PDZD2	24	353	26	6	102
RP11-5N11.2	0	0	0	0	1
RP11-5N11.1	0	0	0	0	0
RP11-5N11.3	0	0	0	0	0
RP11-5N11.4	0	0	0	0	0
RP11-5N11.5	0	0	0	0	0
RP11-5N11.6	0	0	0	0	0
RP11-5N11.7	0	0	0	0	0
RNU6-358P	0	0	0	0	0
CTD-2290C23.1	0	1	0	0	0
RNU6-760P	0	0	0	0	0
CTD-2290C23.2	0	0	0	0	0
RPL5P14	0	0	0	0	0
TPT1P5	2	4	0	0	0
CTD-2206G10.2	0	2	3	0	1
MIR4279	0	0	0	0	0
CTD-2152M20.2	0	4	1	14	10
GOLPH3	1123	2272	2002	698	536
CTD-2186M15.3	48	15	14	107	54
CTD-2186M15.1	0	0	1	0	0
MTMR12	431	1371	1110	171	242
RNU6-1079P	1	0	0	0	0
RNU6-378P	0	0	0	0	3
ZFR	2604	3195	2910	968	1788
MIR579	0	3	1	0	0
CTD-2290P7.1	1	1	0	0	2
SUB1	1429	3168	2509	2074	817
CTD-2004A9.1	0	0	0	0	1
NPR3	128	23	432	1891	2283
CTD-2218G20.1	0	0	0	0	0
CTD-2066L21.3	1	2	11	0	0
CTD-2218G20.2	0	0	0	0	1
CTD-2066L21.1	0	1	0	0	0
CTD-2066L21.2	0	0	0	0	0
CTD-2017D15.1	0	0	0	0	0
RP11-36C20.1	5	18	15	3	0
RP11-113I22.1	0	0	0	0	0
CTD-2203K17.1	20	12	9	17	17
TARS	2518	5910	3644	1538	1160
CTD-2233C11.3	0	0	0	0	1
CTD-2233C11.2	0	0	0	0	0
ADAMTS12	112	499	87	102	214
RNU6-923P	0	0	0	0	0
RXFP3	0	5	0	0	0
SLC45A2	48	3	0	24	15
RP11-1084J3.1	0	0	0	0	0
AMACR	145	232	39	95	78
C1QTNF3-AMACR	2	0	0	0	1
RP11-1084J3.3	0	0	0	0	2
C1QTNF3	725	9	4	770	582
RP11-1250I15.2	0	0	0	0	0
RP11-1250I15.1	0	0	0	0	0
RP11-1250I15.3	2	1	0	0	1
RP11-1023L17.1	66	48	21	16	31
RP11-1023L17.2	3	1	0	8	21
RP11-1325J9.1	0	0	0	0	0
CTD-2024P10.2	8	7	2	0	0
RAI14	2449	11330	6356	793	880
CTD-2024P10.1	4	4	4	1	6
CTD-2517O10.6	12	14	2	41	12
TTC23L	3	6	1	17	24
CTD-2517O10.5	0	0	0	0	0
RPL21P54	0	1	0	0	0
RAD1	177	626	627	241	160
BRIX1	524	832	663	637	289
DNAJC21	535	1137	974	485	300
AGXT2	1	3	0	0	1
PRLR	81	8	10	0	2
CTD-2046J7.1	0	0	0	0	0
SPEF2	30	77	48	7	9
RNU7-130P	0	0	0	0	0
CTD-2113L7.1	0	0	1	0	2
IL7R	22	33	88	4	39
RP11-79C6.2	0	0	0	0	0
RP11-79C6.1	0	0	0	0	0
CAPSL	2	1	0	1	2
RP11-79C6.3	0	0	0	0	0
UGT3A1	1345	0	0	132	129
UGT3A2	230	0	0	4	10
CTD-2197M16.1	0	0	0	0	0
LMBRD2	845	477	500	544	874
MIR580	0	0	0	0	2
SKP2	2384	585	447	704	827
RNU6-1305P	0	1	0	2	1
NADK2	327	728	381	192	131
NADK2-AS1	4	6	10	0	1
RANBP3L	9	1	4	0	39
RNA5SP181	0	0	0	0	0
CTD-2282P23.1	0	0	0	0	0
SLC1A3	113	16	0	8	24
CTD-2282P23.2	0	0	0	0	0
CTD-2353F22.1	0	0	0	0	4
CTD-2353F22.2	10	0	0	0	0
CTD-2653M23.3	1	0	1	0	3
NIPBL	1017	1769	1283	345	780
KRT18P31	3	2	0	4	11
RPS4XP6	2	2	3	3	6
C5orf42	504	700	734	339	1095
C8orf59P2	0	0	0	0	1
OFD1P17	4	1	0	0	3
RN7SL37P	0	0	0	0	2
CTD-2124B8.2	7	3	11	41	8
NUP155	626	1380	1283	317	477
RNU7-75P	0	0	0	0	0
RP11-648M2.1	1	0	0	3	0
WDR70	235	635	440	359	171
KCTD9P5	0	1	1	0	0
RNU6-1190P	0	0	2	0	0
RNU6-484P	0	0	0	0	0
GDNF-AS1	238	8	2	76	61
GDNF	300	52	1	66	117
CTD-2194L12.2	0	0	0	0	2
CTD-2194L12.3	0	0	0	0	0
CTD-2130F23.2	0	0	0	0	0
CTD-2130F23.1	0	0	0	0	0
CTD-2116N24.1	0	0	0	5	0
CTD-2207A17.1	0	0	0	0	0
CTD-2007F2.1	0	0	0	0	0
EGFLAM	67	87	12	62	52
EGFLAM-AS4	4	0	0	0	0
EGFLAM-AS3	0	0	0	0	0
EGFLAM-AS2	0	0	0	0	0
EGFLAM-AS1	0	0	0	0	0
CTD-2108O9.4	2	0	0	8	6
CTD-2263F21.1	98	27	68	558	71
LIFR	1178	649	1044	463	884
LIFR-AS1	50	15	31	15	61
MIR3650	0	0	0	0	0
CTD-2196P11.2	0	0	0	0	0
OSMR-AS1	6	8	13	23	22
RP11-122C5.2	0	0	0	0	2
RP11-122C5.3	1	0	3	0	6
OSMR	896	3309	4620	340	605
RICTOR	1366	904	585	408	1258
AIG1P1	0	0	0	0	8
FYB	21	8	0	0	6
GOLGA5P1	0	0	0	0	0
C9	5	3	3	2	5
DAB2	1389	3122	6801	669	967
CTD-2078B5.2	4	8	12	11	9
CCDC11P1	0	0	0	0	0
INTS6P1	3	2	1	0	8
GCSHP1	0	0	0	0	0
LINC00603	2	0	0	0	0
KRT18P56	0	0	0	0	0
LINC00604	0	0	0	11	1
RNU1-150P	0	0	0	0	0
RP11-386E5.1	2	0	0	0	9
TTC33	150	302	268	77	119
PTGER4	365	157	4225	762	716
PRKAA1	1155	2304	2622	428	677
SNORA57	4	12	23	20	11
AC008810.1	0	0	0	0	0
RPL37	3436	10518	7291	6943	2254
SNORD72	0	0	0	5	1
CARD6	22	100	253	82	97
C7	0	6	61	2	4
RNU7-161P	0	0	0	0	1
RP11-301A5.2	0	0	0	0	0
MROH2B	0	8	0	0	6
C6	0	0	2	0	6
PLCXD3	6	12	243	22	74
CTD-2122P11.1	0	0	0	0	1
OXCT1	1240	1587	1764	789	874
OXCT1-AS1	8	8	1	6	13
CTD-2062O1.1	0	0	0	0	1
C5orf51	1022	1224	944	283	486
FBXO4	36	221	161	56	26
RPSAP38	0	0	0	0	0
MTHFD2P6	2	2	0	0	0
RP11-112L7.1	0	0	0	0	0
GHR	28	25	272	142	149
SERBP1P6	2	1	5	2	2
CTD-2265D6.2	1	1	0	5	1
RP11-116B13.1	0	0	1	0	1
CCDC152	4	7	8	12	14
SEPP1	38	85	121	207	195
CTD-2325A15.5	1	3	0	6	3
CTD-2325A15.3	0	0	0	1	9
PRELID3BP4	2	0	0	138	217
PRELID3BP5	0	0	1	6	11
PRELID3BP6	0	0	0	0	16
PRELID3BP7	0	0	0	4	0
CTD-2201E18.5	5	3	6	27	33
CTD-2201E18.3	43	63	25	235	172
CTD-2035E11.3	1	0	1	0	3
CTD-2035E11.4	11	15	1	420	136
ANXA2R	42	23	16	112	122
AC025171.1	48	45	50	45	104
CTD-2035E11.5	10	4	2	9	23
ZNF131	381	733	499	232	186
RP11-447H19.4	0	0	0	0	0
NIM1K	1	6	11	1	8
RP11-447H19.3	0	0	0	0	0
RP11-447H19.2	0	0	0	0	0
RP11-447H19.1	0	2	1	0	0
CTD-2636A23.2	3	2	5	0	2
HMGCS1	1828	1253	2876	437	524
RP11-159F24.2	1	0	0	0	0
CCL28	27	82	72	44	44
TMEM267	218	281	274	231	172
RP11-159F24.3	14	8	6	8	44
C5orf34	21	127	152	9	33
EEF1A1P19	19	46	17	6	6
RP11-159F24.6	2	4	3	3	8
RP11-159F24.5	3	0	1	6	20
PAIP1	1688	2920	1709	1316	778
NNT-AS1	415	483	344	396	275
CTD-2210P15.3	0	2	1	0	4
AMD1P3	2	5	1	0	2
NNT	1210	3317	1952	781	845
RPL29P12	0	1	1	0	1
RP11-8L21.1	0	0	0	0	1
RNU6-381P	0	0	0	0	0
FGF10	0	0	0	2	2
FGF10-AS1	0	0	0	0	0
RP11-473L15.3	0	0	0	1	1
RP11-503D12.1	0	0	0	0	0
RN7SL383P	0	0	0	0	0
RP11-53O19.1	70	15	12	5	20
RP11-53O19.2	0	1	0	0	1
MRPS30	645	886	459	477	226
RP11-53O19.3	100	22	34	25	23
RP11-357F12.1	0	0	0	0	0
HCN1	4	2	0	0	7
RP11-484L7.1	0	0	0	0	0
RP11-484L7.2	0	0	0	0	0
CTD-2013M15.1	0	0	0	0	0
EMB	75	802	2076	145	203
RP11-269M20.2	0	0	0	0	0
RP11-269M20.1	0	2	0	0	0
RP11-269M20.3	1	0	0	0	2
PARP8	695	697	410	347	718
RP11-317O24.1	0	0	0	0	1
RP11-317O24.3	0	0	0	0	0
RP11-317O24.2	0	0	0	0	0
CTD-2089N3.1	0	0	0	0	17
CTD-2089N3.2	0	0	0	0	5
CTD-2089N3.3	0	0	0	0	1
RNU6-480P	0	0	0	0	0
CTD-2054H24.1	0	0	0	0	0
RNU6-1296P	0	0	0	0	1
CTD-2312P21.1	0	0	0	0	0
CTD-2314G24.2	38	2	0	10	26
ISL1	13	3	1	4	2
HMGB1P47	0	0	0	0	0
CTD-2335O3.2	0	0	0	0	0
CTD-2335O3.3	0	0	0	0	0
RNA5SP182	0	0	0	0	0
KATNBL1P4	0	0	0	0	0
RP11-182I21.2	0	0	0	0	0
CTD-2203A3.1	0	0	0	0	0
RPS17P11	0	0	0	49	16
MFSD4BP1	0	0	0	0	1
CTD-2288O8.1	7	0	3	6	7
ITGA1	1789	570	559	915	1573
PELO	724	1045	1058	1659	836
B3GNTL1P1	0	0	0	0	0
CTD-2207L17.1	3	0	0	0	2
CTD-2175A23.1	1	0	6	0	1
ITGA2	357	1861	2567	26	184
CTD-2366F13.2	2	2	1	0	1
MOCS2	897	1071	1180	1216	597
CTD-2366F13.1	20	86	107	48	26
RP11-94D20.1	0	0	0	0	0
RP11-289K10.1	0	0	0	0	1
FST	607	36	283	3452	1242
NDUFS4	241	795	654	822	201
CTD-2081C10.1	1	0	0	0	1
ASS1P9	0	0	0	0	3
CTD-2081C10.7	4	0	1	0	3
ARL15	581	237	297	234	191
RNU6-272P	0	0	0	0	0
MIR581	0	0	0	0	0
RN7SL801P	0	0	0	0	0
MIR4459	0	0	0	0	1
CTD-2081C10.5	0	0	0	0	0
LINC01033	1	0	0	0	7
RPL37P25	0	0	0	0	2
HSPB3	315	2	1	5114	1782
SNX18	1134	706	449	5815	4549
CTD-2591A1.1	0	0	0	0	8
AC112198.1	8	1	0	13	17
RP11-45H22.1	0	0	0	0	3
RP11-45H22.2	0	0	0	0	1
RP11-45H22.3	0	1	0	0	1
ESM1	2	2	1	0	0
CTD-2313F11.1	0	0	0	0	0
GZMK	0	0	0	0	2
CTD-2313F11.2	0	0	0	0	0
CTD-2313F11.3	0	0	0	0	0
GZMAP1	0	0	0	0	0
GZMA	0	0	0	0	2
CDC20B	3	1	0	0	5
GPX8	1008	1690	2587	800	718
MIR449A	0	1	0	0	0
MIR449B	0	0	0	0	0
MIR449C	0	0	0	0	0
MCIDAS	30	19	1	0	6
CCNO	178	144	15	68	23
RP11-506H20.1	35	13	2	10	3
DHX29	510	1503	1559	382	402
SKIV2L2	705	1931	1718	361	528
RP11-506H20.2	1	0	0	0	0
PLPP1	343	193	320	1003	755
CTD-2315M5.2	1	0	0	0	3
MIR5687	0	0	0	0	1
RNF138P1	2	0	5	9	12
AK4P2	0	0	0	0	0
SLC38A9	406	401	157	123	120
DDX4	3	3	0	5	4
RP11-175M2.1	0	0	0	0	0
RNA5SP183	0	0	0	0	0
HNRNPH1P3	0	1	1	0	0
IL31RA	40	54	42	11	16
AC008914.1	0	0	0	0	0
IL6ST	1823	5086	5344	955	1992
CTD-2031P19.5	0	0	0	0	0
CTD-2031P19.4	0	17	1	3	1
FLJ31104	20	12	3	8	40
CTD-2227I18.1	0	0	0	0	1
ANKRD55	4	2	11	0	1
RNU6-299P	0	0	0	0	0
RPL17P22	1	0	0	0	0
RNA5SP184	0	0	0	0	0
C1GALT1P2	0	1	0	0	0
RNA5SP185	0	0	0	0	0
PSMC1P4	3	0	0	0	4
RNU6ATAC2P	0	0	0	0	1
RP11-155L15.1	0	0	0	0	1
HMGN1P17	1	0	0	0	1
CTC-236F12.4	3	9	0	0	5
RPL26P19	21	38	25	20	3
C5orf67	3	0	0	7	5
